	pooled_qc1	O110m	F140f	L120m	M280f	N170f	B150f	G100m	I180f	N110m	E270f	pooled_qc2	E280m	G150f	B190m	H150m	H140f	O120f	L100f	I190f	M270m	F110m
pooled_qc1		47.7527289737	39.773624791	32.5229750382	43.5197175115	37.162314368	36.1179890317	40.6627293522	35.7264423023	36.2915241811	45.0858905729	27.4091589648	39.3444173499	40.7083832141	52.0518447465	39.15997867	39.4685949108	34.9883409328	40.9120154713	39.4981944609	37.1840592249	47.868270485
O110m	47.7527289737		53.7689962115	46.8765017629	52.6389131624	58.5076065166	58.7602429642	59.6657081242	59.2798654612	45.9266512795	73.012008375	60.5086670965	57.8447062743	67.1608145979	83.8862948519	62.8620121954	53.3223957319	50.3051484853	65.2354480582	62.6561473042	59.5176404161	59.9086871194
F140f	39.773624791	53.7689962115		43.3485345573	52.8216148357	58.9361237085	54.8900897617	54.9164825382	44.9670115106	46.4193672891	55.0443956864	48.7181479419	45.8246306667	61.8662554302	67.7032086076	53.4574850122	47.5906553474	47.885231609	51.5151467602	49.0430791689	50.9081912858	51.7775950413
L120m	32.5229750382	46.8765017629	43.3485345573		47.9243200689	51.9289452984	48.6831722145	49.1973502643	44.4723867907	37.628378855	57.5606285002	43.5938182488	47.3633494457	53.6129177775	64.5709212862	49.9258952954	45.8964337952	39.7612116204	42.8110834202	45.8978116581	42.8867493936	56.9864800321
M280f	43.5197175115	52.6389131624	52.8216148357	47.9243200689		53.8105951886	55.7360519285	56.3065863816	51.068812004	46.1608833369	67.5096846842	51.7394165887	59.4945151804	62.0654305305	68.7893954528	57.5190894865	43.3910555715	50.4036905361	60.9852180163	56.812847945	51.5382224452	68.9736593428
N170f	37.162314368	58.5076065166	58.9361237085	51.9289452984	53.8105951886		41.7629137726	48.783804898	45.8807084113	50.6380402644	44.7237011613	38.1821401144	47.9403872496	38.7835593262	57.8608805735	50.0799367824	53.2624374391	40.0472888516	52.9975200193	51.9413303591	49.0140598932	54.1295092719
B150f	36.1179890317	58.7602429642	54.8900897617	48.6831722145	55.7360519285	41.7629137726		54.4896974342	49.8936664696	53.2189818026	43.848793118	39.8191130348	47.4879462859	37.1432729105	60.1016879411	47.0439654383	48.5802995311	46.9628682933	50.785660014	48.1077811085	50.3109035934	54.9490241023
G100m	40.6627293522	59.6657081242	54.9164825382	49.1973502643	56.3065863816	48.783804898	54.4896974342		47.5610316441	41.7979399675	55.8928083988	42.1164427899	54.2293135171	49.0456478138	54.4735946343	53.6374650406	53.28539016	42.6598864816	47.2802032323	47.5491650506	44.9068493923	58.0973029165
I180f	35.7264423023	59.2798654612	44.9670115106	44.4723867907	51.068812004	45.8807084113	49.8936664696	47.5610316441		43.9558611534	51.1422884123	37.5215743294	48.6274924909	51.0762439758	52.8095500328	44.1567387595	43.4519991137	37.9663327316	44.2235341132	31.7129178794	39.5653826023	53.2048392646
N110m	36.2915241811	45.9266512795	46.4193672891	37.628378855	46.1608833369	50.6380402644	53.2189818026	41.7979399675	43.9558611534		59.6462459803	42.2997941585	50.0834166298	53.6997915849	61.1828616245	50.2689220223	44.5621274069	36.6031913342	48.4202837206	45.098484326	40.4430225106	56.0020904062
E270f	45.0858905729	73.012008375	55.0443956864	57.5606285002	67.5096846842	44.7237011613	43.848793118	55.8928083988	51.1422884123	59.6462459803		36.9190297988	41.122583433	39.8550347343	52.396223174	48.4131782022	56.5998724593	48.3251258898	48.4858639955	49.6191619593	52.1511928879	48.7849064701
pooled_qc2	27.4091589648	60.5086670965	48.7181479419	43.5938182488	51.7394165887	38.1821401144	39.8191130348	42.1164427899	37.5215743294	42.2997941585	36.9190297988		37.9455825024	32.2208475432	39.6252795311	34.4406771086	39.1883438107	31.505482664	33.7225220914	33.1621231417	32.8283366027	43.7146324927
E280m	39.3444173499	57.8447062743	45.8246306667	47.3633494457	59.4945151804	47.9403872496	47.4879462859	54.2293135171	48.6274924909	50.0834166298	41.122583433	37.9455825024		47.8794202531	61.8472728208	47.3718856036	49.8868706486	43.7773671718	45.9636915395	47.9518615842	47.5073141327	43.6406948876
G150f	40.7083832141	67.1608145979	61.8662554302	53.6129177775	62.0654305305	38.7835593262	37.1432729105	49.0456478138	51.0762439758	53.6997915849	39.8550347343	32.2208475432	47.8794202531		50.0695083765	44.8689711538	52.3200531467	42.5163504187	46.3409622986	46.0437865502	46.1402795243	50.840641889
B190m	52.0518447465	83.8862948519	67.7032086076	64.5709212862	68.7893954528	57.8608805735	60.1016879411	54.4735946343	52.8095500328	61.1828616245	52.396223174	39.6252795311	61.8472728208	50.0695083765		55.1293923309	60.6048073313	52.1589407057	48.263836743	50.0479193565	48.8158362235	62.3910657547
H150m	39.15997867	62.8620121954	53.4574850122	49.9258952954	57.5190894865	50.0799367824	47.0439654383	53.6374650406	44.1567387595	50.2689220223	48.4131782022	34.4406771086	47.3718856036	44.8689711538	55.1293923309		37.2841519985	42.6982102116	43.5009645241	39.6377822996	41.6827114119	52.7846509049
H140f	39.4685949108	53.3223957319	47.5906553474	45.8964337952	43.3910555715	53.2624374391	48.5802995311	53.28539016	43.4519991137	44.5621274069	56.5998724593	39.1883438107	49.8868706486	52.3200531467	60.6048073313	37.2841519985		39.838229028	48.6206056944	43.2276189244	42.9472115818	57.4856558323
O120f	34.9883409328	50.3051484853	47.885231609	39.7612116204	50.4036905361	40.0472888516	46.9628682933	42.6598864816	37.9663327316	36.6031913342	48.3251258898	31.505482664	43.7773671718	42.5163504187	52.1589407057	42.6982102116	39.838229028		42.2689878582	39.2914871717	35.3875662808	51.0238282033
L100f	40.9120154713	65.2354480582	51.5151467602	42.8110834202	60.9852180163	52.9975200193	50.785660014	47.2802032323	44.2235341132	48.4202837206	48.4858639955	33.7225220914	45.9636915395	46.3409622986	48.263836743	43.5009645241	48.6206056944	42.2689878582		35.8841447513	36.2181517074	48.3272035886
I190f	39.4981944609	62.6561473042	49.0430791689	45.8978116581	56.812847945	51.9413303591	48.1077811085	47.5491650506	31.7129178794	45.098484326	49.6191619593	33.1621231417	47.9518615842	46.0437865502	50.0479193565	39.6377822996	43.2276189244	39.2914871717	35.8841447513		35.8436080497	50.365362296
M270m	37.1840592249	59.5176404161	50.9081912858	42.8867493936	51.5382224452	49.0140598932	50.3109035934	44.9068493923	39.5653826023	40.4430225106	52.1511928879	32.8283366027	47.5073141327	46.1402795243	48.8158362235	41.6827114119	42.9472115818	35.3875662808	36.2181517074	35.8436080497		49.9765237692
F110m	47.868270485	59.9086871194	51.7775950413	56.9864800321	68.9736593428	54.1295092719	54.9490241023	58.0973029165	53.2048392646	56.0020904062	48.7849064701	43.7146324927	43.6406948876	50.840641889	62.3910657547	52.7846509049	57.4856558323	51.0238282033	48.3272035886	50.365362296	49.9765237692	
