Quantification Ion	Retention Index	Name	units	a332129	a332133	a332137	a332141	a332145	a332149	a332153	a332157	a332161	a332165	a332169	a332173	a332181	a332185	a332189	a332193	a332197	a332201	a332205	a332209	a332217	a332221	a332225	a332229	a332233	a332237	a332241	a332245	a332249	a332253	a332257	a332261	a332265	a332269	a332273	a332277	a332281	a332285	a332289	a332293	a332297	a332301	a332305	a332309	a332313	a332317	a332321	a332325	a332329	a332333	a332337	a332341	a332345	a332349	a332353	a332361	a332365	a332369	a332373	a332381	a332385	a332389	a332393	a332397	a332401	a332405	a332409	a332413	a332417	a332421	a332429	a332437	a332445	a332449	a332457	a332461	a332469	a332477	a332481	a332485	a332489	a332493	a332497	a332501	a332505	a332509	a332513	a332525	a332529	a332533	a332537	a332541	a332545	a332549	a332553	a332557	a332561	a332565	a332569	a332577	a332581	a332585	a332589	a332593	a332597	a332601	a332605	a332609	a332613	a332617	a332625	a332629	a332633	a332637	a332641	a332645	a332649	a332653	a332657	a332661	a332665	a332669	a332673	a332677	a332685
*218*	671085	tyrosine	peak area	287	276	176	9335	320	295	245	40480	32493	17552	15160	5578	6964	300	152	158	86	184	303	335	17658	2469	398	2805	2015	17761	84	86	90	87	165	103	65	47548	9968	29394	37350	12273	29557	17032	55	81	178	122	192	150	76	23881	32374	8686	29789	191	537	22725	730	346	236	391	135	68905	33711	19598	71200	20786	20963	32861	813	238	209	135	225	26744	22559	31720	26369	26275	194	108	507	93	287	23177	13769	39128	43416	36662	22364	307	182	331	325	606	623	14411	66472	23795	37680	26825	191	168	181	146	518	79	92	300	55024	86401	43037	65778	36589	43187	329	231	153	232	378	218	142	40136	31266	13435	22874	13097	33519
*202*	779834	tryptophan	peak area	101	90	260	1416	37	138	144	2379	2227	1245	1030	862	326	72	206	107	52	54	77	13	89	589	609	387	452	2001	115	4	34	23	63	136	124	1221	290	833	3235	392	59	732	21	74	102	45	141	91	50	346	1222	100	375	149	185	263	139	159	133	122	42	1881	1841	716	2376	1104	1159	985	167	157	220	88	106	916	808	1275	1050	1403	16	37	8	121	81	1128	613	1226	2076	1350	1029	167	87	216	140	130	131	553	2077	846	1247	810	40	88	139	37	132	62	161	257	2423	3682	2373	3952	1743	2186	113	132	180	360	127	108	87	789	1034	422	1077	643	1070
*191*	947837	trehalose	peak area	264	568	380	4554	677	816	776	3783	3106	2004	1566	2674	1665	428	804	700	604	365	787	536	2171	1443	2640	1422	1570	2886	304	192	269	316	422	570	443	1341	1693	1569	2876	1943	1872	2681	158	281	662	521	510	358	403	1831	1684	1698	1187	633	562	3417	2743	963	659	807	329	2105	1782	1307	2017	1470	1572	1807	631	452	605	538	694	2328	2635	1320	2013	3187	753	463	896	669	786	1192	1943	1487	1635	2062	1463	508	369	679	387	957	1051	1424	2534	1829	2511	2079	666	497	457	760	482	272	453	526	2898	3051	2473	2586	2053	2584	207	308	986	285	139	887	127	2443	2712	1599	1196	1438	2095
*326*	556913	taurine	peak area	20	78	40	137	26	26	59	36944	56321	18412	4350	1659	209	75	9	119	15	53	43	93	49	43	86	12	24	62	19	76	10	60	65	32	35	46685	38478	16230	4494	189	23437	44112	53	123	101	44	62	51	34	22	22378	50	2549	47	23	51	54	105	62	190	53	69343	792	7507	53242	20128	47	23088	68	49	57	19	83	28	30	27	29	31	21	19	80	43	27	47979	30948	57281	4858	9218	19073	126	41	73	150	29	121	38	117	42	39	124	40	47	45	138	48	32	69	29	71434	84822	21363	8928	4047	376	61	84	158	16	175	142	45	36	284	11	39	21	260
*271*	915457	sucrose	peak area	969	356	271	365	293	1584	84	381	1341	1470	7241	3134	344	2019	175	411	95	71	206	73	209	413	142	431	650	3790	149	61	135	112	168	177	1536	557	2723	457	4940	825	155	221	580	113	204	152	154	688	105	376	672	173	1755	119	1621	240	1126	497	572	290	47	470	1010	237	186	237	644	282	1989	147	105	61	357	10147	1841	154	551	1230	163	413	118	19	59	965	1212	104	1963	857	1301	735	91	904	1140	219	179	195	180	2584	12743	299	454	142	1396	824	135	641	87	468	226	4917	2146	1354	2665	588	1180	2338	432	187	151	2592	78	1443	260	384	495	116	103
*147*	370518	succinic acid	peak area	42604	66352	47223	49581	47021	75035	59200	61831	29107	34508	16869	24704	23452	42558	153770	337707	193391	197859	202210	105104	25293	23395	117849	22333	27299	79423	48626	44767	40691	42813	98308	85219	44764	26870	31306	19522	45331	24435	24468	30552	57903	75811	95376	53903	51673	55060	45587	48362	24445	31781	13259	48352	66474	63144	49311	141783	58695	83541	58575	39996	56126	35369	36776	36379	46670	31938	57351	61142	84268	90507	96798	33893	55744	71960	65658	37964	73417	34783	85242	75601	92928	40513	60159	37739	56935	27728	29262	67260	79965	63798	82139	99951	70776	18094	64856	66628	28067	35743	14908	62071	74189	125440	113969	84888	88166	55414	109415	52315	21833	32844	16371	38149	122415	195176	40151	123946	224595	97404	77898	136043	101415	24766	21225	36868	36998
*117*	787358	stearic acid	peak area	269044	184445	198286	162899	642340	269094	285040	158041	113732	120977	137799	102895	115876	123236	117038	163756	135982	118751	147389	219638	74091	226311	124348	65644	90832	368034	152292	61956	76364	94013	148902	161165	122045	202283	445986	138587	188994	210177	51949	81599	146368	117598	170254	249363	165212	137546	146187	92858	501510	73739	364944	166844	166162	138668	691919	239646	403811	149057	261882	105935	257198	326373	109695	163954	122966	92778	302958	154568	136239	141091	294348	153320	82343	75185	84731	125152	185557	127566	268557	205660	217278	467889	314334	103736	296903	559155	317478	242525	195942	263063	233792	273788	255291	62466	264819	124819	261200	133129	101549	249925	161707	491338	274971	205601	286399	282940	123982	180049	93378	120640	86847	199592	194618	187322	203703	118346	158887	230756	115555	363923	74688	84094	124862	79267	103846
*204*	394656	serine	peak area	357	2809	433	34191	152	1876	175	3212	5959	310	4479	6169	2143	1361	161	6723	864	194	143	896	1240	112	3864	8185	4409	131	24	849	63	129	234	469	3274	3952	993	2386	3357	2215	2121	3034	93	141	767	576	234	527	254	169	2713	570	9921	1404	628	167	3446	501	790	1069	179	1391	2885	643	2984	2384	501	9498	1566	371	192	360	148	7325	5649	1897	3085	1379	133	2481	3224	276	166	5052	3377	2099	2879	3463	5311	821	273	663	221	2125	113	43	4805	147	5686	3083	1922	357	4200	2014	410	3213	125	698	3232	10868	4809	6856	4177	1535	155	1345	127	141	802	2423	165	1620	4885	2629	1306	857	2746
*357*	735613	ribulose-5-phosphate	peak area	15	46	19	118	40	16	66	1691	1109	1052	704	475	1603	28	30	74	74	45	107	111	1391	1113	394	681	770	3457	9	13	17	41	46	82	47	955	607	692	1133	589	634	1188	59	46	151	65	51	57	100	2162	1167	747	775	28	10	2245	44	76	32	82	13	888	670	538	900	1002	428	928	83	3	63	60	57	687	1314	744	778	1672	122	44	60	124	75	810	666	878	726	1254	549	108	45	78	163	59	22	650	2655	1427	1212	2169	202	43	158	119	37	52	59	46	774	1601	990	745	538	1448	17	73	24	20	84	35	30	922	1106	747	923	514	1434
*315*	731702	ribose-5-phosphate	peak area	30	27	29	51	56	23	7	1187	986	671	551	584	2137	50	26	86	18	50	112	76	2135	669	12	696	824	3880	26	12	14	20	99	33	13	1024	636	735	1161	676	717	821	70	33	204	38	42	33	25	2107	1499	1019	1175	90	45	3384	31	67	80	144	38	1681	726	687	836	625	460	1182	48	31	10	76	52	632	894	413	420	541	119	69	15	85	107	355	374	277	439	422	238	111	14	27	92	49	31	717	1568	1110	1111	1108	125	34	114	116	8	20	71	66	1306	1288	923	777	603	1178	39	95	71	5	37	55	48	1701	1307	801	784	562	1417
