sampleID	Compartment	Minutes	treatment	ColumnName	Array
a332577	buffer	0	19_uM_palmita	a332577	1
a332581	buffer	0	19_uM_palmita	a332581	2
a332585	buffer	0	19_uM_palmita	a332585	3
a332589	buffer	0	19_uM_palmita	a332589	4
a332593	buffer	0	19_uM_palmita	a332593	5
a332597	buffer	0	19_uM_palmita	a332597	6
a332601	buffer	0	19_uM_palmita	a332601	7
a332469	buffer	0	02_uM_palmita	a332469	8
a332477	buffer	0	02_uM_palmita	a332477	9
a332481	buffer	0	02_uM_palmita	a332481	10
a332485	buffer	0	02_uM_palmita	a332485	11
a332489	buffer	0	02_uM_palmita	a332489	12
a332353	buffer	0	09_uM_palmita	a332353	13
a332361	buffer	0	09_uM_palmita	a332361	14
a332365	buffer	0	09_uM_palmita	a332365	15
a332369	buffer	0	09_uM_palmita	a332369	16
a332373	buffer	0	09_uM_palmita	a332373	17
a332241	buffer	0	09_uM_palm_rm	a332241	18
a332245	buffer	0	09_uM_palm_rm	a332245	19
a332249	buffer	0	09_uM_palm_rm	a332249	20
a332253	buffer	0	09_uM_palm_rm	a332253	21
a332257	buffer	0	09_uM_palm_rm	a332257	22
a332261	buffer	0	09_uM_palm_rm	a332261	23
a332265	buffer	0	09_uM_palm_rm	a332265	24
a332129	buffer	0	ethanol__only	a332129	25
a332133	buffer	0	ethanol__only	a332133	26
a332137	buffer	0	ethanol__only	a332137	27
a332141	buffer	0	ethanol__only	a332141	28
a332145	buffer	0	ethanol__only	a332145	29
a332149	buffer	0	ethanol__only	a332149	30
a332153	buffer	0	ethanol__only	a332153	31
a332633	buffer	20	19_uM_palmita	a332633	32
a332637	buffer	20	19_uM_palmita	a332637	33
a332641	buffer	20	19_uM_palmita	a332641	34
a332645	buffer	20	19_uM_palmita	a332645	35
a332649	buffer	20	19_uM_palmita	a332649	36
a332653	buffer	20	19_uM_palmita	a332653	37
a332657	buffer	20	19_uM_palmita	a332657	38
a332525	buffer	20	02_uM_palmita	a332525	39
a332529	buffer	20	02_uM_palmita	a332529	40
a332533	buffer	20	02_uM_palmita	a332533	41
a332537	buffer	20	02_uM_palmita	a332537	42
a332541	buffer	20	02_uM_palmita	a332541	43
a332545	buffer	20	02_uM_palmita	a332545	44
a332409	buffer	20	09_uM_palmita	a332409	45
a332413	buffer	20	09_uM_palmita	a332413	46
a332417	buffer	20	09_uM_palmita	a332417	47
a332421	buffer	20	09_uM_palmita	a332421	48
a332429	buffer	20	09_uM_palmita	a332429	49
a332297	buffer	20	09_uM_palm_rm	a332297	50
a332301	buffer	20	09_uM_palm_rm	a332301	51
a332305	buffer	20	09_uM_palm_rm	a332305	52
a332309	buffer	20	09_uM_palm_rm	a332309	53
a332313	buffer	20	09_uM_palm_rm	a332313	54
a332317	buffer	20	09_uM_palm_rm	a332317	55
a332321	buffer	20	09_uM_palm_rm	a332321	56
a332185	buffer	20	ethanol__only	a332185	57
a332189	buffer	20	ethanol__only	a332189	58
a332193	buffer	20	ethanol__only	a332193	59
a332197	buffer	20	ethanol__only	a332197	60
a332201	buffer	20	ethanol__only	a332201	61
a332205	buffer	20	ethanol__only	a332205	62
a332209	buffer	20	ethanol__only	a332209	63
a332605	matrix	0	19_uM_palmita	a332605	64
a332609	matrix	0	19_uM_palmita	a332609	65
a332613	matrix	0	19_uM_palmita	a332613	66
a332617	matrix	0	19_uM_palmita	a332617	67
a332625	matrix	0	19_uM_palmita	a332625	68
a332629	matrix	0	19_uM_palmita	a332629	69
a332493	matrix	0	02_uM_palmita	a332493	70
a332497	matrix	0	02_uM_palmita	a332497	71
a332501	matrix	0	02_uM_palmita	a332501	72
a332505	matrix	0	02_uM_palmita	a332505	73
a332509	matrix	0	02_uM_palmita	a332509	74
a332513	matrix	0	02_uM_palmita	a332513	75
a332381	matrix	0	09_uM_palmita	a332381	76
a332385	matrix	0	09_uM_palmita	a332385	77
a332389	matrix	0	09_uM_palmita	a332389	78
a332393	matrix	0	09_uM_palmita	a332393	79
a332397	matrix	0	09_uM_palmita	a332397	80
a332401	matrix	0	09_uM_palmita	a332401	81
a332405	matrix	0	09_uM_palmita	a332405	82
a332269	matrix	0	09_uM_palm_rm	a332269	83
a332273	matrix	0	09_uM_palm_rm	a332273	84
a332277	matrix	0	09_uM_palm_rm	a332277	85
a332281	matrix	0	09_uM_palm_rm	a332281	86
a332285	matrix	0	09_uM_palm_rm	a332285	87
a332289	matrix	0	09_uM_palm_rm	a332289	88
a332293	matrix	0	09_uM_palm_rm	a332293	89
a332157	matrix	0	ethanol__only	a332157	90
a332161	matrix	0	ethanol__only	a332161	91
a332165	matrix	0	ethanol__only	a332165	92
a332169	matrix	0	ethanol__only	a332169	93
a332173	matrix	0	ethanol__only	a332173	94
a332181	matrix	0	ethanol__only	a332181	95
