sampleID	Compartment	Minutes
a332577	buffer	0
a332581	buffer	0
a332585	buffer	0
a332589	buffer	0
a332593	buffer	0
a332597	buffer	0
a332601	buffer	0
a332469	buffer	0
a332477	buffer	0
a332481	buffer	0
a332485	buffer	0
a332489	buffer	0
a332353	buffer	0
a332361	buffer	0
a332365	buffer	0
a332369	buffer	0
a332373	buffer	0
a332241	buffer	0
a332245	buffer	0
a332249	buffer	0
a332253	buffer	0
a332257	buffer	0
a332261	buffer	0
a332265	buffer	0
a332129	buffer	0
a332133	buffer	0
a332137	buffer	0
a332141	buffer	0
a332145	buffer	0
a332149	buffer	0
a332153	buffer	0
a332633	buffer	20
a332637	buffer	20
a332641	buffer	20
a332645	buffer	20
a332649	buffer	20
a332653	buffer	20
a332657	buffer	20
a332525	buffer	20
a332529	buffer	20
a332533	buffer	20
a332537	buffer	20
a332541	buffer	20
a332545	buffer	20
a332409	buffer	20
a332413	buffer	20
a332417	buffer	20
a332421	buffer	20
a332429	buffer	20
a332297	buffer	20
a332301	buffer	20
a332305	buffer	20
a332309	buffer	20
a332313	buffer	20
a332317	buffer	20
a332321	buffer	20
a332185	buffer	20
a332189	buffer	20
a332193	buffer	20
a332197	buffer	20
a332201	buffer	20
a332205	buffer	20
a332209	buffer	20
a332605	matrix	0
a332609	matrix	0
a332613	matrix	0
a332617	matrix	0
a332625	matrix	0
a332629	matrix	0
a332493	matrix	0
a332497	matrix	0
a332501	matrix	0
a332505	matrix	0
a332509	matrix	0
a332513	matrix	0
a332381	matrix	0
a332385	matrix	0
a332389	matrix	0
a332393	matrix	0
a332397	matrix	0
a332401	matrix	0
a332405	matrix	0
a332269	matrix	0
a332273	matrix	0
a332277	matrix	0
a332281	matrix	0
a332285	matrix	0
a332289	matrix	0
a332293	matrix	0
a332157	matrix	0
a332161	matrix	0
a332165	matrix	0
a332169	matrix	0
a332173	matrix	0
a332181	matrix	0
a332661	matrix	20
a332665	matrix	20
a332669	matrix	20
a332673	matrix	20
a332677	matrix	20
a332685	matrix	20
a332549	matrix	20
a332553	matrix	20
a332557	matrix	20
a332561	matrix	20
a332565	matrix	20
a332569	matrix	20
a332437	matrix	20
a332445	matrix	20
a332449	matrix	20
a332457	matrix	20
a332461	matrix	20
a332325	matrix	20
a332329	matrix	20
a332333	matrix	20
a332337	matrix	20
a332341	matrix	20
a332345	matrix	20
a332349	matrix	20
a332217	matrix	20
a332221	matrix	20
a332225	matrix	20
a332229	matrix	20
a332233	matrix	20
a332237	matrix	20
