rowID	flag_feature1
row0	0
row1	0
row2	0
row3	0
row4	0
row5	1
row6	0
row7	0
row8	0
row9	0
row10	0
row11	0
row12	0
row13	1
row14	0
row15	0
row16	0
row17	0
row18	0
row19	1
row20	0
row21	0
row22	0
row23	0
row24	1
row25	0
row26	0
row27	0
row28	0
row29	0
row30	0
row31	0
row32	0
row33	0
row34	0
row35	0
row36	0
row37	0
row38	0
row39	1
row40	0
row41	0
row42	1
row43	0
row44	0
row45	1
row46	1
row47	1
row48	1
row49	0
row50	0
row51	0
row52	0
row53	1
row54	1
row55	0
row56	0
row57	0
row58	0
row59	1
row60	0
row61	0
row62	1
row63	0
row64	1
row65	1
row66	0
row67	0
row68	1
row69	1
row70	0
row71	0
row72	0
row73	1
row74	1
row75	0
row76	1
row77	1
row78	1
row79	0
row80	0
row81	0
row82	0
row83	0
row84	0
row85	1
row86	0
row87	0
row88	0
row89	0
row90	0
row91	0
row92	0
row93	0
row94	1
row95	0
row96	1
row97	1
row98	0
row99	1
row100	1
row101	1
row102	1
row103	0
row104	0
row105	0
row106	0
row107	1
row108	1
row109	0
row110	0
row111	0
row112	1
row113	0
row114	0
row115	0
row116	0
row117	0
row118	0
row119	0
row120	1
row121	0
row122	1
row123	0
row124	0
row125	0
row126	0
row127	1
row128	0
row129	0
row130	1
row131	0
row132	0
row133	0
row134	1
row135	0
row136	0
row137	0
row138	0
row139	0
row140	0
row141	0
row142	0
row143	0
row144	0
row145	0
row146	0
row147	1
row148	0
row149	0
row150	1
row151	1
row152	0
row153	0
row154	1
row155	1
row156	1
row157	0
row158	1
row159	0
row160	0
row161	0
row162	0
row163	0
row164	1
row165	0
row166	1
row167	0
row168	0
row169	0
row170	0
row171	0
row172	0
row173	0
row174	1
row175	1
row176	1
row177	0
row178	1
row179	0
row180	0
row181	0
row182	0
row183	0
row184	1
row185	0
row186	0
row187	0
row188	0
row189	1
row190	0
row191	0
row192	0
row193	1
row194	0
row195	1
row196	0
