	flag_sample2
Name	1
a332577	0
a332581	1
a332585	0
a332589	0
a332593	0
a332597	1
a332601	1
a332469	0
a332477	1
a332481	1
a332485	1
a332489	1
a332353	1
a332361	1
a332365	1
a332369	0
a332373	0
a332241	1
a332245	0
a332249	0
a332253	0
a332257	1
a332261	0
a332265	1
a332129	1
a332133	1
a332137	1
a332141	1
a332145	0
a332149	0
a332153	1
a332633	0
a332637	1
a332641	0
a332645	1
a332649	0
a332653	1
a332657	1
a332525	0
a332529	1
a332533	1
a332537	1
a332541	1
a332545	1
a332409	1
a332413	1
a332417	1
a332421	1
a332429	1
a332297	0
a332301	0
a332305	1
a332309	0
a332313	0
a332317	1
a332321	0
a332185	1
a332189	1
a332193	1
a332197	0
a332201	0
a332205	1
a332209	1
a332605	1
a332609	1
a332613	1
a332617	1
a332625	0
a332629	1
a332493	1
a332497	0
a332501	1
a332505	1
a332509	1
a332513	1
a332381	1
a332385	1
a332389	1
a332393	1
a332397	1
a332401	1
a332405	0
a332269	0
a332273	1
a332277	0
a332281	1
a332285	1
a332289	0
a332293	0
a332157	1
a332161	0
a332165	1
a332169	0
a332173	1
a332181	1
a332661	1
a332665	0
a332669	1
a332673	0
a332677	1
a332685	0
a332549	1
a332553	1
a332557	1
a332561	1
a332565	0
a332569	0
a332437	0
a332445	1
a332449	1
a332457	0
a332461	0
a332325	0
a332329	0
a332333	0
a332337	1
a332341	1
a332345	1
a332349	1
a332217	1
a332221	0
a332225	0
a332229	0
a332233	1
a332237	1
