mb_sample_id 	Subject_name 	sampleID	Species 	genotype 	Xoo_infection
SA000272	-	20434	Oryza sativa	Taipei 309 +Xa21 transgene 	mock
SA000273	-	20439	Oryza sativa	Taipei 309 +Xa21 transgene 	mock
SA000276	-	20444	Oryza sativa	Taipei 309 +Xa21 transgene 	mock
SA000274	-	20449	Oryza sativa	Taipei 309 +Xa21 transgene 	mock
SA000277	-	20454	Oryza sativa	Taipei 309 +Xa21 transgene 	mock
SA000275	-	20459	Oryza sativa	Taipei 309 +Xa21 transgene 	mock
SA000245	-	20526	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000251	-	20531	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000246	-	20536	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000249	-	20541	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000252	-	20546	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000247	-	20551	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000253	-	20556	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000248	-	20561	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000250	-	20566	Oryza sativa	Taipei 309 +Xa21 transgene 	no treatment
SA000258	-	20184	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000261	-	20189	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000262	-	20194	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000259	-	20199	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000254	-	20204	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000257	-	20209	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000256	-	20296	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000260	-	20301	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000255	-	20306	Oryza sativa	Taipei 309 +Xa21 transgene 	Pxo99
SA000294	-	20342	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000295	-	20347	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000291	-	20352	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000289	-	20357	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000292	-	20362	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000288	-	20367	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000287	-	20372	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000293	-	20377	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000290	-	20382	Oryza sativa	Taipei 309 +Xa21 transgene 	RaxSt
SA000297	-	20388	Oryza sativa	Taipei 309 	mock
SA000304	-	20393	Oryza sativa	Taipei 309 	mock
SA000303	-	20398	Oryza sativa	Taipei 309 	mock
SA000299	-	20403	Oryza sativa	Taipei 309 	mock
SA000301	-	20408	Oryza sativa	Taipei 309 	mock
SA000302	-	20413	Oryza sativa	Taipei 309 	mock
SA000296	-	20418	Oryza sativa	Taipei 309 	mock
SA000298	-	20423	Oryza sativa	Taipei 309 	mock
SA000300	-	20428	Oryza sativa	Taipei 309 	mock
SA000267	-	20480	Oryza sativa	Taipei 309 	no treatment
SA000266	-	20485	Oryza sativa	Taipei 309 	no treatment
SA000269	-	20490	Oryza sativa	Taipei 309 	no treatment
SA000268	-	20495	Oryza sativa	Taipei 309 	no treatment
SA000265	-	20500	Oryza sativa	Taipei 309 	no treatment
SA000263	-	20505	Oryza sativa	Taipei 309 	no treatment
SA000264	-	20510	Oryza sativa	Taipei 309 	no treatment
SA000270	-	20515	Oryza sativa	Taipei 309 	no treatment
SA000271	-	20520	Oryza sativa	Taipei 309 	no treatment
SA000278	-	20153	Oryza sativa	Taipei 309 	Pxo99
SA000286	-	20158	Oryza sativa	Taipei 309 	Pxo99
SA000282	-	20163	Oryza sativa	Taipei 309 	Pxo99
SA000283	-	20168	Oryza sativa	Taipei 309 	Pxo99
SA000279	-	20173	Oryza sativa	Taipei 309 	Pxo99
SA000285	-	20178	Oryza sativa	Taipei 309 	Pxo99
SA000281	-	20281	Oryza sativa	Taipei 309 	Pxo99
SA000280	-	20286	Oryza sativa	Taipei 309 	Pxo99
SA000284	-	20291	Oryza sativa	Taipei 309 	Pxo99
