rowID	batch01_QC03	batch01_C05	batch01_S07	batch01_C10	batch01_QC04	batch01_S01	batch01_C03	batch01_S05	batch01_C07	batch01_S06	batch01_QC05	batch01_C08	batch01_C06	batch01_S02	batch01_S09	batch01_QC06	batch01_S04	batch01_C04	batch01_S10	batch01_C09	batch01_QC07	batch02_C05	batch02_S03	batch02_S07	batch02_C01	batch02_C10	batch02_QC08	batch02_S01	batch02_C03	batch02_S05	batch02_C07	batch02_S06	batch02_QC09	batch02_C08	batch02_C06	batch02_S02	batch02_S09	batch02_C02	batch02_QC10	batch02_S04	batch02_S08	batch02_C04	batch02_S10	batch02_C09	batch02_QC11	batch03_C05	batch03_S03	batch03_S07	batch03_C01	batch03_C10	batch03_QC12	batch03_S01	batch03_C03	batch03_S05	batch03_C07	batch03_S06	batch03_QC13	batch03_C08	batch03_C06	batch03_S02	batch03_S09	batch03_C02	batch03_QC14	batch03_S04	batch03_S08	batch03_C04	batch03_S10	batch03_C09	batch03_QC15	batch04_C05	batch04_S03	batch04_S07	batch04_C01	batch04_QC16	batch04_S01	batch04_S05	batch04_C07	batch04_S06	batch04_QC17	batch04_C08	batch04_C06	batch04_S02	batch04_S09	batch04_C02	batch04_QC18	batch04_S08	batch04_C04	batch04_S10	batch04_QC19	batch05_QC20	batch05_S03	batch05_S07	batch05_C01	batch05_C10	batch05_QC21	batch05_S01	batch05_C03	batch05_C07	batch05_QC22	batch05_C06	batch05_C02	batch05_QC23	batch05_S04	batch05_S08	batch05_C04	batch05_QC24	batch06_QC25	batch06_S03	batch06_C10	batch06_QC26	batch06_S01	batch06_C03	batch06_S05	batch06_C07	batch06_S06	batch06_QC27	batch06_C08	batch06_C06	batch06_S02	batch06_C02	batch06_QC28	batch06_S04	batch06_S08	batch06_C04	batch06_C09	batch06_QC29	batch07_QC30	batch07_C05	batch07_S03	batch07_S07	batch07_C01	batch07_C10	batch07_QC31	batch07_C03	batch07_S05	batch07_C07	batch07_S06	batch07_QC32	batch07_C08	batch07_S02	batch07_S09	batch07_C02	batch07_QC33	batch07_S04	batch07_S08	batch07_S10	batch07_C09	batch07_QC34	batch08_C05	batch08_S03	batch08_S07	batch08_C01	batch08_C10	batch08_QC36	batch08_S01	batch08_C03	batch08_S05	batch08_C07	batch08_S06	batch08_QC37	batch08_C08	batch08_S02	batch08_S09	batch08_QC38	batch08_S04	batch08_S08	batch08_C04	batch08_S10	batch08_C09	batch08_QC39
70.03364	32615.83175	6284.604222	19453.27959	52515.91617	34159.49036	15131.45017	32699.89529	21735.36704	50603.34477	28396.84713	38874.49967	37436.93664	42074.15407	20703.91493	17373.83343	35982.61408	24629.71345	39907.86783	3266.551258	38756.73158	32021.56179	8475.504156	21749.73294	15381.02228	53775.63433	46305.05737	31511.67522	15961.49778	33143.51104	20840.08608	43808.0682	28059.00049	36029.2252	39175.24631	39156.76251	20532.92331	17223.94265	28806.65566	34221.53886	26487.96296	29011.96263	41737.493	2837.891705	42708.31803	35551.64668	5553.407839	25629.03187	18153.57476	52352.95038	52551.18676	30959.85497	13299.42384	31218.83742	19496.08595	50567.7984	28188.6351	36687.64685	45076.52882	45066.21899	22459.75043	20574.13095	37840.79136	33343.27005	25413.47853	31339.37051	40105.13065	4494.494425	44723.58494	34789.35989	21024.77854	26638.5	16878.92989	59485.29739	38134.33964	16405.89679	23478.2099	48873.91223	26953.44074	36096.66058	32989.01377	46369.52457	18314.99641	22710.74931	32500.68965	30082.31043	31755.22352	48303.23194	5344.802095	35154.82579	34398.99988	21462.99116	18600.05118	51336.50947	44272.18305	34399.00056	16731.28133	39355.76123	54421.35762	34399.00306	41304.15584	32801.79968	34398.99358	25372.87411	26143.21523	37450.70155	34399.0029	34268.11003	25548.2532	67959.42768	35703.94723	16672.54836	31465.21689	22508.7364	49582.5771	30076.18824	32339.57093	42412.98264	55906.06712	25610.40617	33899.00242	35044.69824	29213.22328	41626.45126	37639.75973	50342.04483	34727.48885	29683.72391	25782.72821	26490.96066	24642.84478	37393.52412	83128.18323	51879.68569	50642.19906	23254.49996	45018.42655	29861.97379	27951.43667	42658.26571	24049.22439	22783.72736	26073.616	32989.83162	26120.88963	30284.07266	19633.38164	69881.03484	36035.05429	24604.37759	22517.75217	20992.8488	62448.87801	47323.65072	28714.80547	19119.73767	17271.17893	21092.65014	40518.22484	20833.45022	43270.7047	34601.59137	25623.67336	18480.20201	26828.55674	24555.70296	22649.46454	45913.55262	19336.08314	44103.22815	39536.52662
70.03375	41112.9372	8556.825252	22035.14141	54941.87088	41583.55492	17602.9337	34947.67806	25975.00159	53101.86882	33460.29017	42504.95582	43219.89602	44512.7581	23774.76882	20475.03386	42965.44204	29022.84735	44738.54988	7214.087412	41532.4571	38506.94808	10696.85421	25673.49516	17794.40912	65427.79998	49209.40062	37309.84574	17765.67216	40596.91294	23696.26164	50981.58497	35458.50318	40974.58612	42679.03243	47232.6954	26058.66412	19999.94122	35902.72913	40718.07536	33051.1367	32306.8062	48116.26368	6540.183667	50111.22253	41289.51792	9705.672129	31369.02255	20916.85233	69722.60023	61201.13364	38547.75936	15953.93764	36467.67398	22508.13674	55916.24638	34612.00352	44517.01093	52340.10303	51803.65824	24570.66351	25043.0218	43689.54054	38646.27134	29359.48772	36118.95238	45422.00188	6669.951259	50172.48578	42444.18862	9501.839287	33055.0703	19538.39446	71325.56694	43902.70689	18686.90437	24808.72681	55557.16802	31042.61668	42512.86454	41240.3451	50574.92815	22495.07437	26206.75645	40161.78119	34763.53398	37367.55981	50780.07725	5524.424336	43913.56664	40980.79659	24853.60041	21226.75123	62991.67882	53615.0644	40665.72235	21617.9654	48550.57566	65562.16235	41411.914	53368.77207	40253.17339	40066.7269	29784.08499	31862.31988	46745.07348	41242.52863	40340.04615	30140.20173	78344.34763	42569.55071	22071.814	38068.19133	23442.9798	55957.43588	36106.64177	39099.36562	53328.25519	62097.17863	30617.97261	39714.89367	41204.74464	32669.38017	48721.29956	46409.94998	62788.43956	41220.09848	40441.62305	26432.54395	24314.63516	19338.45537	63684.54328	54559.90735	42732.55814	46903.90576	22062.10514	39909.05767	26152.87103	36287.45187	49154.04909	27311.75021	24595.36744	39980.09011	48064.04026	29214.56764	34604.28618	16632.76333	55036.59616	39770.48649	25212.6583	21059.71699	25075.04377	69268.05542	56329.0445	38382.97082	18083.96786	44960.96546	22971.75934	53931.70833	28482.64538	40758.51947	38226.8628	27408.12225	24664.53872	39910.16553	30372.65319	31386.75212	43627.66285	16627.84251	41365.43069	42454.48968
70.03413	86693.85997	13308.07485	46185.32714	131768.7772	90115.19956	35182.21297	78738.49998	53753.4467	129198.2558	70021.9942	95284.44056	88895.52789	108174.175	52369.58491	40784.5677	92193.25654	66283.58903	102140.9986	10585.20348	94617.45948	86057.51532	18016.822	52847.38577	38603.86699	170874.5627	121861.0128	80339.12746	34872.50898	85695.53573	51553.30394	123754.3741	69387.49818	90655.45716	98594.61213	101397.0909	55587.78342	43112.4168	77582.09939	82054.57253	71854.93009	80576.21728	102544.502	9063.177468	106022.5293	91618.84764	14212.83818	66529.46871	47529.40653	180005.8934	149498.3888	80209.93802	33920.71765	80308.63643	46894.11561	128122.4927	70480.97264	94153.38917	118739.4148	118892.7815	59774.40225	51613.11393	94529.22511	81304.12145	71570.1135	84583.13278	100997.2333	12279.49919	107607.2491	90531.50662	16170.37457	76255.89919	41965.18291	165089.0512	95761.45162	38112.71978	59297.3211	130992.7246	72560.2927	92122.04999	88930.75504	113984.032	54834.7952	56459.22768	85602.59255	77358.95066	85206.98764	111917.3282	12665.63332	95819.21625	89194.04426	53089.19026	45745.96867	146612.2244	123116.9661	86101.76181	42965.09059	97968.00585	136963.0499	90844.22143	100125.7773	77481.82448	85251.25001	63171.87742	70450.37249	95859.46338	89570.36744	87163.5534	62719.03848	168552.7917	91622.8978	38087.27954	74484.22459	52587.38033	113429.0887	68897.30495	84500.68719	100235.4083	126314.3586	70253.70185	83163.06586	88643.0813	72551.74019	102233.9482	92191.00762	119499.1177	89052.18916	92503.25289	14128.16328	61012.10151	41190.79864	163198.6627	132974.1656	88429.81761	114970.3115	47186.7747	128949.7783	84843.58537	79947.18998	112445.3241	45594.23169	47014.90833	98335.12282	89937.89436	60477.83277	61566.34466	8591.389108	127268.4823	86529.84671	13521.72687	50201.33439	41795.80024	174965.2568	116730.0527	95524.24536	39966.00501	96569.28808	49725.08738	136572.5054	61249.24402	85993.27018	93554.84216	38521.07899	50455.52656	85341.1637	48195.48989	62036.57334	86160.49742	10256.5557	116828.4959	90229.98855
70.03427	12478.30353	1423.003952	6330.071398	18577.74322	14578.16529	5198.533669	11257.04475	6147.30041	19205.4003	9345.7448	14250.33405	13716.76173	16102.16585	6573.986024	6595.083092	13648.33505	8830.293951	13848.65682	9525.29812	13994.28784	12662.66159	2247.476089	8065.901644	4583.787402	17428.52568	14216.58218	11289.76391	5718.207477	12844.14354	7625.736199	16914.24403	9570.662383	13610.52921	13787.84809	15801.03195	8383.236021	6570.407269	10507.24916	12976.34812	10119.14676	10016.62512	14023.31409	9498.513471	16322.28064	13253.79418	10350.14288	9600.756216	6166.069047	14978.81847	14580.58604	12802.22902	3655.201923	11823.37179	6723.091303	15798.8101	10130.27877	13984.86291	14963.61279	16571.46011	6825.081516	7068.082295	14427.75413	11850.42983	8486.705621	11757.31745	13388.7514	9243.485626	14650.5929	14032.07028	8995.404334	10393.76231	5559.540349	16867.84802	15304.20756	5188.946742	7349.126071	16677.1833	9906.346647	14320.67868	13084.45803	16221.87976	6095.253206	7240.435176	11952.1174	10901.16119	11887.49775	14573.47464	2289.167338	13839.69248	13639.09678	8631.667678	6285.007005	20097.16495	18815.36229	12559.01795	6157.547071	13733.11794	21931.98418	13463.14508	15726.41795	12737.6161	13108.80905	10101.40139	8734.588009	14276.33342	13407.51099	13256.07021	9570.839038	17097.44223	13360.73354	6592.444187	12147.86928	7350.49247	17259.56454	10794.96566	12909.35565	16683.91998	17384.5856	9802.465466	13976.63127	13362.59805	11336.60091	14865.98844	16014.67937	20829.92789	13266.04792	13854.25263	10951.46508	10360.75359	5004.542068	20993.33033	15276.25033	14735.91252	16730.01789	8058.265152	16145.14092	10308.61054	10954.3759	15129.72063	8721.467456	9279.462197	16484.17707	14928.04204	10127.34044	12375.19569	9059.325797	16729.12201	10632.68991	10820.45893	7789.189536	7941.261486	23213.05039	17460.04845	14978.28453	3831.936253	13783.49637	7721.937939	19934.91087	9251.218531	12253.78238	13025.09242	9258.284772	8678.754624	14139.24697	8235.098081	10443.12565	12487.51062	10870.96906	17469.21389	13476.96392
73.0584	17847.35186	9860.726973	8077.400153	24406.19915	17797.33438	8452.827434	16403.55202	9045.188437	19275.52531	11604.56184	17384.62438	19823.5027	21866.30837	9255.793397	9890.431098	17055.72526	9689.453002	22886.47384	11656.33699	21095.87942	18722.21443	12553.423	10214.45198	9468.436459	33684.2334	25343.11139	18372.7753	9163.682199	19050.41207	11996.89371	24894.1193	13645.26585	16992.24677	21121.68269	26004.177	8446.218568	9902.749738	29823.77884	16669.99893	10373.61825	12867.88816	21588.37836	4209.003113	23462.15927	17908.81004	12296.75759	8736.541024	9042.852106	33936.86626	25495.57236	17553.53776	10326.77236	19227.28924	11619.55186	20540.68721	12195.19876	18336.78411	24726.68703	23064.3432	8472.988704	9507.149683	24972.97908	18294.38269	10895.71488	13325.65126	20364.37451	4770.561671	22904.82399	18098.64369	12154.5838	11083.79429	7401.731859	36821.22962	16561.93201	10244.85136	12863.80862	23354.92813	13287.01367	18995.15767	25627.4157	27879.56811	11190.73137	11715.60942	30914.22297	16655.4925	14606.91722	23371.80113	2802.235943	17907.64996	17120.9735	10820.94012	10589.21996	43428.65326	33880.74469	18799.44886	12424.38842	21536.04013	27675.96996	18013.81677	30919.58004	31753.72631	16616.12621	13048.63566	15272.17325	23793.35247	18037.63032	17945.29634	9104.279791	30249.98592	16282.46842	10424.1502	29252.25173	17189.60423	29645.73864	14082.77265	19170.19021	27435.24672	26909.08853	10801.44064	30828.41155	18693.09092	18054.68978	15056.45588	26530.81182	27623.1783	16595.9265	16629.1501	16284.73531	11705.60376	8682.188193	38635.73644	33398.20412	22080.26566	19871.7837	15342.56184	23381.93253	13493.80032	17587.20276	26152.87905	16545.54642	12501.41036	28091.82059	14171.34841	12301.51556	17030.68887	10860.07569	23144.7515	16369.72654	13329.08028	11569.76029	6888.148572	37240.8825	31173.02599	19627.3095	10880.46414	16962.81316	13790.61175	19002.645	6205.628174	20431.88198	21984.40637	8529.136856	13405.02823	15901.16907	13186.78535	11684.45673	21207.7033	9926.450088	20144.1901	17859.06871
73.05853	12170.04259	6231.956844	4877.000795	11508.33499	11186.07921	6226.489662	8975.418392	5858.634036	12452.54768	6591.594647	11325.9409	14261.87018	12101.78408	7267.035579	6209.042578	10708.38515	5799.637653	11780.62889	9030.28372	13485.6646	11613.44712	9208.09155	5479.777788	6481.397767	22771.88809	15518.92984	11985.17051	7033.711771	11085.04404	7582.129039	17677.11383	8209.031635	11311.25971	12091.00002	13383.6116	4799.055936	6692.818834	11922.32026	10557.99127	7635.169705	7004.72199	12306.86178	3121.875974	14424.41568	11026.73614	7806.930023	5878.772272	6859.543411	24620.66249	10920.38201	12152.20345	6569.94387	11249.2517	7003.621573	13248.9267	6761.271499	11329.71816	13499.75276	15323.92325	6071.140096	5672.89378	12432.32736	11918.57822	5691.893158	8180.55469	12012.42016	2822.558882	13289.29409	11556.90216	6815.730572	6611.645552	5264.8208	24197.38022	11595.01912	7417.084063	7594.196652	12389.10225	7857.332771	13515.84273	13715.35052	11450.82838	6200.320293	7056.796427	12726.26694	10810.44489	6969.518906	12101.74358	3022.242122	10518.46472	11651.14017	8069.466317	8451.810086	32608.56461	11462.10541	10310.63676	7771.157953	14054.43666	18590.59848	13326.72549	11254.3269	12732.45958	10722.31935	7364.225468	10541.51757	12047.88692	11352.46058	12595.33291	6924.053846	24442.77775	9244.473222	6738.743007	16914.32849	11116.63058	17454.67458	11208.5058	13333.30055	14385.65631	12933.02671	7310.586194	13461.37083	11423.35202	8552.132071	9778.313855	18177.11686	18159.36892	10988.34457	11225.64156	8861.772299	7007.8817	6400.382213	21589.53747	19119.03611	11827.84459	13889.3928	8934.595337	17204.74597	8895.753114	11216.4744	14456.69314	7602.314162	6969.738039	19295.26658	11015.39645	7838.291727	10544.35729	9515.686465	14486.42038	12137.45983	9890.777956	7029.306492	5005.191537	23774.33653	19146.36507	11617.79505	5903.294294	13498.22995	7960.145445	15327.43809	8830.956059	10402.36163	16230.56701	7577.789749	8233.228582	12275.70872	8312.070417	9608.779337	15054.35992	10890.88027	14740.95366	11250.13443
73.05866	8859.75887	7695.61293	4743.593395	12699.18767	8387.770001	6196.385685	12517.9009	8174.403381	13916.7168	9058.559753	9398.488606	10184.34117	17844.49464	8846.18414	9081.088868	8732.56999	9641.698089	22611.0391	10552.39638	21039.79323	6584.562547	12827.61205	8747.705682	10408.37464	15487.07477	22936.72898	8833.199704	6799.318417	15946.84037	13060.81146	13628.24041	11085.45249	10124.39344	23249.56337	13223.39257	10187.53912	14341.12716	12421.31143	9435.751448	12801.06229	15488.87179	28479.14369	8918.970062	25195.68023	7191.515274	14162.75476	8931.007541	8403.581313	16846.66942	13389.62684	8357.198127	7288.875088	13933.46092	11514.67048	17929.43061	11533.35022	7602.624429	13101.40758	29330.22004	13405.90756	12038.91675	11511.32764	9482.821098	13647.64107	11960.78218	23545.80621	3715.490136	18371.84807	11427.23553	11800.11031	10176.27807	6428.88489	16339.43078	10886.79693	7563.444385	11831.57284	11991.85912	9087.316581	10857.75196	20355.66464	11723.42677	8578.040421	8818.951682	12204.51197	6945.456018	13932.1329	20042.8216	4233.889061	9219.611336	8457.282835	5514.513456	5406.607819	17313.74262	11302.45125	8420.244572	4495.354994	6901.628755	8301.104794	8524.185319	11770.91741	12515.05841	8402.530785	6559.03615	6471.943684	11351.07915	8461.407408	7989.216742	5413.134774	9775.251366	9450.758045	4702.483641	9230.227768	9347.033158	11239.49213	4993.129939	7946.160719	10459.59732	11107.27685	4970.153249	11304.39125	8296.633643	8989.011398	8148.210783	10613.72289	9923.082496	8670.872829	8279.155753	6794.468627	5084.282953	4169.504415	16786.74988	13275.16004	8570.82111	9898.434138	6605.436286	12761.7596	7409.910823	8815.968955	10735.63684	4783.564189	4449.150378	13889.56032	7696.13113	6181.777575	7157.649652	9921.18027	11212.03706	8857.5008	5303.18109	5081.120563	4640.986895	19600.2331	13995.48719	8890.31174	4780.893784	10714.72439	6775.49903	12167.76924	6368.667557	8376.486579	13333.15875	5491.30914	4640.144116	8214.293506	5571.318372	6337.18355	10058.16854	10336.02081	11859.8726	8448.037062
73.05882	26670.64421	19678.37431	11325.57962	44371.78256	28582.73174	10532.37767	27816.19862	13010.4445	33910.38948	15464.5576	24868.1197	37690.26811	43308.17344	13279.53527	15725.74574	26917.40707	13987.98424	40808.74628	18038.65883	41721.81754	28909.62385	23500.17255	12428.39741	13177.66246	68204.07213	45675.05674	28287.95911	12765.5074	32509.46072	18904.32478	40564.13521	18531.53237	26708.24164	42238.92738	48640.74974	15319.97741	17460.65409	62967.75728	27352.8518	13647.77417	21505.08448	39126.59408	6287.575074	45180.586	24987.4953	22038.85492	13018.61737	12168.85829	66266.44482	49002.00296	28119.82017	12005.1325	32996.58232	19887.65689	37002.68518	18680.24872	28164.9934	49727.0198	47588.81731	16066.66983	14418.24916	51957.28806	28812.34307	17751.70168	25027.58572	45825.80683	6838.874348	41671.75702	28743.34288	25379.06416	15092.59295	12086.99144	66027.06174	25326.86505	13405.46761	23281.12481	39257.80935	18727.54851	28716.72003	47854.84165	55381.1853	17866.84582	17605.20848	60304.14082	26589.90679	24586.33487	46132.61901	6375.288112	25938.28753	27195.8039	15899.40425	14149.88593	66607.21884	54082.8132	26949.57715	12482.58443	25228.48401	34408.61834	28466.65098	44822.58065	54447.79936	26147.89887	15521.62827	22485.0778	40031.78473	27495.65177	29362.53554	13976.73479	55637.22077	24112.40935	12451.87947	40944.90541	21529.22611	48422.99918	18687.39555	28180.49412	44919.40604	53929.74546	18856.8528	56573.08819	28295.33069	19504.28607	26112.04919	44986.81617	39549.60699	26576.47704	27241.99906	23718.11243	15820.72542	15168.16255	61317.54172	46817.96571	27242.00068	34912.16889	21053.85148	44669.34074	19262.21886	27242.00614	36446.15689	14469.79649	16578.37357	57351.25481	27241.98869	15368.67803	19003.70276	15214.44548	37930.46814	27242.00194	16140.8593	13716.88761	10821.90217	58333.63737	41319.17142	27242.01014	12615.64647	30676.23444	18772.0707	37027.58666	16589.151	27241.98901	41030.6081	14818.17118	13008.56148	27242.00434	16486.17849	18596.09696	35082.10055	14728.14303	40384.92251	27241.99984
73.53802	86506.58982	55550.6834	97635.71557	92376.31225	88364.58847	105416.1281	76468.3703	95526.78345	55874.27154	74220.31889	91379.58391	53867.26951	47862.52369	77070.72616	66895.00737	92088.69954	94727.85263	89930.5082	77404.40902	58872.77926	82592.77021	58487.70894	87958.53752	120953.3004	79082.95026	94904.3661	80870.28738	94783.91123	80284.71115	88169.45084	86345.90138	90463.98719	80622.35493	55791.10621	46151.5161	89766.60631	71878.93752	50225.22846	84592.14679	96731.7203	81289.7187	76629.90632	91505.81519	58880.95627	96256.45868	59687.61045	78703.99259	127380.5539	89207.51419	158560.7701	82686.83922	118975.4447	79683.21975	108667.1092	65928.02388	71839.689	92743.63671	55423.37396	54039.97157	86413.75944	78980.56256	51663.59361	75290.47083	113320.4678	70662.7595	81158.2001	86431.70283	61488.66159	101160.9701	65283.73879	87986.89218	122386.1509	101336.8194	80865.01361	103025.5033	114651.3671	59167.82332	93433.31548	84553.64853	83696.97845	47451.3774	117614.6114	71593.33489	49900.33135	82208.48224	72858.55348	78008.93496	134651.3519	95127.12395	87273.0295	82880.72726	132293.2235	81532.87559	95855.21494	89797.44071	107216.4054	75569.47344	80688.56563	79707.41395	50129.42294	51320.37927	88650.76115	134493.5221	87696.99268	95900.43938	88377.94575	88927.24768	77381.66143	79334.84584	84512.03371	147532.3873	109075.0605	134871.8855	73087.82733	118909.0087	96109.11095	53714.43213	43580.55337	56858.43072	39844.45306	69540.4159	122459.8497	111863.1838	101924.1769	60474.10278	97438.9733	78356.53795	102002.786	87067.74782	115042.5597	103791.0578	132899.8243	100668.7963	87791.86879	93429.35951	84796.69729	98178.5518	82152.07355	67459.82624	102148.2577	77510.76561	58774.53486	95875.88005	90503.29391	93861.18731	80146.34281	72891.20827	76400.94175	63159.74043	92755.79455	118654.268	101278.243	124247.1619	89358.58959	113041.4144	93522.06896	93603.30983	103798.6229	86899.70834	91279.23734	67860.99311	95103.89649	81590.75211	80842.22589	122715.1407	85927.88534	84454.97179	88063.08153	64401.80663	88284.50843
73.53822	227949.6468	145964.5615	298823.7814	261847.6795	241359.1803	305875.9928	217363.9013	275409.4647	151548.0978	202799.0358	247553.4881	136751.942	107908.9497	223227.194	177803.4355	255799.1423	287336.5338	262138.283	213560.3401	147516.6434	217638.1906	153083.1834	246589.16	366367.9936	213197.502	277346.7568	218210.4594	269484.6512	228899.7161	254063.0021	226000.7886	245600.4247	215582.872	141415.783	109254.688	243157.8176	189273.945	122160.113	231837.4719	267255.4407	219854.1488	207713.6904	236846.6522	152460.85	266501.8856	158920.9014	220013.46	360681.495	230078.3846	375238.5456	233375.8355	358674.531	219659.6195	287835.0609	174131.3974	189491.1989	252421.5498	142450.2578	108177.8927	247475.7979	206273.3431	123774.2904	203757.0789	291443.0806	185351.9467	218294.8252	237024.1568	156644.6249	283764.2524	169529.2765	240544.4745	317880.655	270880.5496	213711.9924	288955.1648	289763.9604	156409.0281	241015.5028	228443.1086	222111.3446	101786.6013	291203.6024	180700.0853	118876.1356	220048.2236	194056.1053	213556.3677	301501.6616	252935.2826	234994.0807	231111.5775	411987.8487	217356.7474	268807.5867	244322.2441	295301.8257	206450.5729	215549.7907	215212.2802	128744.1785	110630.102	246717.6532	327537.3776	241208.8414	255203.0371	235298.6774	241053.9584	204628.2484	214105.4059	229194.0563	407986.5779	302388.2042	376001.8996	201746.7438	314129.203	253389.109	150130.6771	68544.65021	166188.6998	91502.0204	199339.7349	379306.6382	56863.69246	304391.6377	166937.1466	257073.1589	207342.3521	301740.332	238581.7148	376063.1951	275663.0772	469128.3544	286882.3723	242501.1432	266782.9163	196235.5455	233277.8347	223815.8262	170285.2609	329423.2572	200495.6493	140380.937	266492.843	261229.4296	279384.1718	234029.564	183580.5886	200552.5528	167361.0264	262601.787	379572.8848	249304.2622	372882.9418	230158.6306	305357.8473	235148.7069	244980.2217	246598.8783	216051.8918	245078.5682	162985.3628	298639.1827	215050.2422	220029.6568	391570.9903	244252.9719	240988.7673	264378.2377	162165.9673	247941.1982
