rowID	row_ID	row_m_z	row_retention_time	ID	Identification_method	Molecular_formula	Name	VAR36
met_1	681	133.0139	0.88	92824n	Negative_Garrett_Std_Library.csv	C4H6O5	MALATE	
met_2	680	149.0088	0.80	444305n	Negative_Garrett_Std_Library.csv	C4H6O6	TARTARIC ACID	
met_3	682	191.0193	1.74					
met_4	696	306.0759	1.44	124886n	Negative_Garrett_Std_Library.csv	C10H17N3O6S	GLUTATHIONE	
met_5	687	115.0030	0.91					
met_6	799	175.0243	1.26					
met_7	1839	192.0227	1.73					
met_8	706	117.0191	2.13	1110n	Negative_Garrett_Std_Library.csv	C4H6O4	SUCCINATE	
met_9	684	146.0456	0.75	33032n	Negative_Garrett_Std_Library.csv	C5H9NO4	L-GLUTAMIC ACID	
met_10	702	111.0084	1.70					
met_11	686	132.0300	0.71	83887n	Negative_Garrett_Std_Library.csv	C4H7NO4	ASPARTATE	
met_12	691	245.0426	0.73					
met_13	688	165.0401	0.74					
met_14	103	387.1138	0.79					
met_15	719	173.0087	2.45					
met_16	689	323.1342	7.06					
met_17	697	275.0209	0.88	91493n	Negative_Garrett_Std_Library.csv	C6H13O10P	6-PHOSPHOGLUCONIC ACID	
met_18	99	141.0493	9.94		Negative_Garrett_Std_Library.csv	C7H2D4O3	Salicylic Acid-D4	
met_19	685	241.0825	0.80					
met_20	693	96.9691	0.72					
met_21	725	147.0296	2.16	1081n	Negative_Garrett_Std_Library.csv	C5H8O5	CITRAMALATE	
met_22	466	421.2257	13.30					
met_23	1982	175.0463	0.78					
met_24	118	341.1079	0.79	ISO-2	Negative_Garrett_Std_Library.csv	C12H22O11	C12H22O11-DISACCHARIDE	
met_25	690	145.0616	0.72	5961n	Negative_Garrett_Std_Library.csv	C5H10N2O3	L-GLUTAMINE	
met_26	692	259.0929	0.80					
met_27	744	129.0191	2.47					
met_28	731	405.0276	1.86					
met_29	739	147.0296	1.02					
met_30	1	194.0817	13.30	Bkgrnd	NegBackgroundIonLibrary.csv		Background Ion	
met_31	708	475.1290	0.92					
met_32	738	145.0140	1.30	51n	Negative_Garrett_Std_Library.csv	C5H6O5	ALPHA-KETOGLUTARIC ACI	
met_33	196	135.0297	0.79					
