rowID	N170f	B150f	G100m	I180f	N110m	E270f	blank4	neat_qc2	pooled_qc2	E280m	blank1	G150f	B190m	H150m	H140f	O120f	L100f	I190f	M270m	F110m	blank2	blank3	neat_qc1	pooled_qc1	O110m	F140f	L120m	M280f
met_10004	69000	84100	42000	64900	41000	87200	1510	0	51600	51900	0	61800	56300	68600	37400	49400	36400	53300	29500	58300	0	0	0	60300	50300	49700	42600	50900
met_10006	74200	15400	51800	64500	18500	13200	0	0	24100	8300	0	17600	30500	28200	7250	28100	15200	23000	18000	17000	0	0	0	39900	50200	16200	10500	31000
met_10011	0	64000	73600	50700	40100	66800	0	0	61000	51100	0	70100	60300	43900	46800	64600	52900	42400	37900	56000	0	0	0	65400	50100	55700	55600	40500
met_10024	6350	95900	0	6280000	55300	12200	0	0	45600	8420	0	0	12300	0	26500	9730000	45600	45800	7180000	1010000	0	0	0	58200	77900	22000	67200	8940000
met_10025	2220000	3420000	8250000	6410000	6750000	3360000	0	3900	5120000	2170000	0	2390000	10100000	6320000	5520000	1660000	8890000	8230000	7030000	14100000	0	0	0	5940000	3440000	9530000	4330000	5670000
met_10054	918000	746000	1030000	999000	771000	644000	0	0	917000	216000	2800	684000	2000000	792000	817000	473000	859000	1310000	1410000	570000	0	0	0	1070000	540000	779000	584000	1410000
met_10063	4410000	3000000	1070000	1630000	1840000	1450000	0	0	1470000	1650000	0	1940000	2320000	47100	57800	1610000	1290000	1030000	1180000	1870000	0	0	0	1610000	679000	1390000	1300000	1170000
met_10069	536000	255000	1560000	811000	1340000	368000	0	0	582000	238000	0	361000	1250000	434000	409000	528000	724000	917000	1030000	113000	0	0	0	679000	241000	630000	441000	803000
met_10071	657000	295000	518000	1430000	614000	738000	0	0	746000	274000	0	304000	2130000	862000	5100	671000	557000	408000	962000	159000	2880	0	0	728000	148000	689000	804000	1560000
met_10085	4150000	927000	2480000	1820000	1610000	813000	0	0	1080000	1120000	0	1520000	1510000	1160000	498000	1250000	1040000	867000	770000	1720000	0	0	0	1350000	891000	868000	1220000	440000
met_10090	396000	968000	2620000	1650000	612000	2030000	0	0	1310000	1720000	0	1020000	2250000	522000	74100	211000	3720000	1000000	667000	2220000	0	0	0	1440000	143000	3860000	210000	287000
met_10100	366000	263000	1230000	665000	848000	275000	0	0	485000	154000	0	338000	1150000	256000	237000	370000	641000	986000	588000	113000	0	0	0	650000	224000	327000	416000	762000
met_10101	281000	169000	603000	337000	390000	201000	0	0	306000	114000	0	163000	722000	172000	69400	251000	284000	402000	535000	149000	0	0	0	344000	152000	263000	234000	427000
met_10127	280000	281000	524000	373000	554000	319000	0	0	332000	159000	0	377000	536000	218000	195000	282000	386000	510000	372000	126000	0	0	0	359000	123000	220000	232000	374000
met_10130	597000	1580000	581000	216000	198000	837000	0	0	523000	434000	0	1630000	521000	359000	313000	202000	416000	301000	370000	333000	0	0	0	498000	263000	259000	264000	275000
met_10133	358000	318000	238000	709000	241000	418000	0	0	444000	128000	0	280000	1400000	400000	414000	419000	400000	557000	364000	209000	3080	0	0	480000	133000	609000	337000	587000
met_10134	439000	346000	1000000	350000	622000	332000	0	0	386000	139000	0	390000	586000	277000	280000	287000	472000	722000	361000	203000	0	4350	0	598000	331000	244000	461000	541000
met_10141	389000	373000	896000	549000	376000	487000	0	0	484000	237000	0	393000	1400000	295000	503000	461000	338000	540000	349000	286000	0	0	0	496000	57400	455000	483000	558000
met_10144	996000	821000	950000	387000	475000	623000	0	0	517000	436000	0	716000	628000	481000	239000	437000	666000	264000	342000	369000	0	0	0	711000	440000	475000	555000	359000
met_10152	214000	297000	386000	423000	361000	282000	0	0	292000	155000	0	196000	1100000	241000	312000	208000	207000	317000	323000	141000	0	0	0	335000	121000	373000	225000	352000
met_10153	469000	453000	390000	353000	332000	352000	0	0	360000	375000	0	358000	421000	395000	367000	407000	316000	377000	321000	367000	0	0	0	458000	477000	377000	372000	397000
met_10165	382000	437000	365000	469000	289000	492000	0	0	403000	279000	0	302000	908000	335000	363000	306000	307000	278000	281000	224000	0	0	0	405000	154000	482000	415000	440000
met_10169	5000	664000	347000	232000	261000	953000	0	0	347000	81300	0	579000	1320000	280000	255000	180000	558000	369000	274000	400000	0	0	0	451000	143000	523000	359000	357000
met_10171	267000	95300	347000	359000	219000	167000	0	0	100000	66900	2150	163000	257000	152000	101000	221000	187000	229000	269000	99400	0	0	0	191000	172000	159000	199000	188000
met_10189	460000	311000	324000	292000	301000	286000	0	0	262000	207000	0	216000	492000	161000	6460	355000	209000	223000	228000	91000	0	0	0	264000	127000	184000	192000	279000
met_10197	570000	196000	174000	235000	138000	34900	2620	0	199000	20100	51300	478000	108000	423000	110000	125000	116000	222000	219000	8570	2470	0	2480	196000	37100	20100	116000	106000
met_10199	194000	117000	235000	263000	170000	233000	0	0	174000	131000	0	135000	317000	154000	69100	179000	176000	186000	216000	61800	0	0	0	210000	59200	166000	181000	261000
met_10210	206000	74100	573000	181000	373000	71100	0	0	188000	45100	0	133000	329000	122000	15400	142000	269000	346000	201000	36900	0	0	0	240000	82000	90900	155000	300000
