rowID	blank2_02	blank3_25	blank5_65	blank2_101	blank4_46	blank4_122	blank2_116	blank3_117	ISTD_09	blank1_84	_1a_45	QCD4_118	_21b_32	_17a_39	_10a_31	_18b_13	_3c_56	_1c_104	_17c_55	_2b_43	_21c_10	_21a_89	_22c_33	_1b_54	_17b_53	_18c_93	_5a_63	_20a_18	_4c_95	_2a_72	_12a_24	_5b_12	_6c_14	_3a_98	_4a_73	_19a_21	_2c_16	_14b_74	_20b_22	_9c_37	_16c_19	_16a_79	_3b_11	_10c_52	_15b_15	_6b_76	QCD2_120	_14c_82	_12c_87	_20c_91	_13c_109	_19c_105	_29a_36	QCD1_30	QCD3_119	_23b_77	_26b_42	_11b_34	_12b_44	_25a_41	_22b_107	_27c_71	_7a_81	_15a_83	_23c_35	_13b_38	_18a_75	_19b_80	_25c_110	_24b_88	_25b_92	_23a_90	_5c_20	_14a_58	QCD1_03	_15c_61	_8a_51	_6a_108	QCD2_08	_29c_64	_16b_23	_11a_112	_8c_94	blank1_01	_7c_99	_4b_57	_24c_113	_24a_40	_8b_96	QCD1_103	_26a_100	_27b_60	_9b_111	_29b_106	_27a_97	QCD1_69	_26c_115	_7b_59	_9a_17	_13a_78	_22a_114	_11c_70	_10b_123	QCD1_121
met_1	14700000	5230000	4860000	2920000	4730000	3320000	3150000	3380000	9640000	3550000	4840000	3310000	4390000	4950000	4830000	8390000	4840000	3230000	4820000	5640000	10400000	3610000	6110000	4730000	5000000	3120000	5810000	7750000	3410000	5040000	6330000	10800000	9330000	3110000	4470000	7760000	8780000	4930000	7770000	6450000	7830000	4940000	9890000	5810000	10200000	4200000	3910000	4690000	4890000	3860000	4690000	4340000	6890000	7560000	3580000	4440000	7290000	8960000	6500000	7280000	4280000	5800000	4790000	4600000	7490000	8350000	4570000	4280000	4600000	4690000	4300000	4070000	8200000	5890000	23800000	5740000	7250000	3600000	13900000	7210000	7220000	7030000	5010000	214000000	3510000	5960000	5170000	6520000	4780000	5000000	5160000	6060000	7010000	5820000	4130000	7210000	5940000	8050000	14800000	5340000	5010000	9600000	6030000	5240000
met_100	203000	114000	135000	137000	132000	125000	123000	140000	196000	121000	624000	910000	832000	1110000	2780000	1920000	546000	563000	1460000	1160000	962000	993000	6630000	770000	1440000	1730000	3770000	1960000	1920000	1700000	9930000	5240000	2500000	549000	1780000	4590000	1860000	3600000	3420000	12700000	9770000	10800000	1110000	4300000	2910000	2880000	5970000	4710000	13600000	2850000	14600000	5220000	17000000	14400000	2370000	16200000	21100000	16600000	11700000	19800000	9310000	14100000	2240000	3060000	25700000	21900000	2130000	3390000	16400000	14800000	16400000	16700000	5520000	3560000	14800000	1720000	13800000	1770000	13800000	17800000	8360000	18200000	15400000	2110000	2620000	3050000	19600000	16600000	11300000	14400000	22300000	15500000	24600000	24100000	15900000	14200000	23300000	7890000	23300000	15200000	14900000	26100000	11000000	13700000
met_1000	57300	80000	62800	66900	61500	61500	65100	57600	70000	72600	73000	79600	82100	91100	58000	90400	88300	95500	102000	104000	81400	97900	83300	79500	86800	94000	92800	58500	87000	95600	58300	79600	83400	93700	93200	99100	87400	75600	86800	59200	78600	70900	82100	73600	92400	76500	95400	72400	123000	88000	73400	88000	89600	77000	79000	90000	69900	82100	78200	84200	74500	83200	96800	80700	90500	99400	85400	87000	76400	84600	86400	87000	95000	84900	87300	80600	79600	95500	77100	80500	89000	91400	82200	83200	61700	93400	83700	57200	78000	74400	91700	84800	82400	90900	92100	77800	90700	77100	86300	80200	78700	76800	89200	86300
met_10001	352000	520000	592000	525000	567000	556000	548000	565000	536000	572000	556000	570000	415000	527000	405000	511000	540000	550000	539000	567000	469000	574000	557000	531000	499000	547000	545000	508000	561000	532000	403000	502000	529000	569000	557000	541000	519000	528000	522000	427000	527000	564000	497000	528000	511000	581000	583000	551000	574000	534000	567000	555000	521000	551000	581000	538000	495000	548000	496000	532000	414000	541000	545000	572000	540000	519000	536000	552000	533000	553000	598000	587000	513000	567000	570000	578000	564000	532000	511000	539000	562000	555000	558000	519000	554000	539000	529000	398000	575000	605000	602000	540000	553000	566000	568000	474000	575000	526000	508000	591000	406000	574000	575000	584000
met_10002	131000	167000	164000	167000	165000	147000	161000	164000	129000	148000	168000	186000	158000	190000	150000	198000	189000	184000	199000	188000	216000	191000	203000	164000	213000	201000	199000	195000	191000	222000	148000	203000	214000	200000	210000	194000	209000	212000	207000	151000	205000	198000	199000	221000	214000	217000	203000	205000	198000	190000	194000	201000	198000	195000	207000	194000	199000	194000	192000	193000	201000	194000	192000	181000	219000	198000	192000	183000	221000	193000	207000	226000	200000	210000	198000	187000	177000	173000	192000	228000	198000	191000	226000	185000	187000	203000	214000	142000	187000	214000	187000	211000	213000	224000	209000	185000	230000	179000	178000	203000	181000	180000	185000	188000
met_10003	119000	152000	129000	143000	115000	130000	149000	151000	141000	126000	155000	162000	146000	166000	163000	166000	162000	155000	154000	196000	162000	176000	195000	181000	172000	165000	170000	169000	185000	176000	182000	180000	161000	194000	165000	183000	185000	183000	163000	171000	168000	191000	173000	202000	192000	174000	223000	223000	227000	187000	191000	179000	193000	208000	163000	192000	218000	196000	185000	173000	196000	207000	189000	163000	199000	167000	176000	191000	167000	178000	194000	183000	169000	156000	169000	144000	166000	178000	159000	197000	217000	197000	215000	155000	189000	187000	162000	152000	191000	202000	226000	184000	184000	184000	188000	164000	187000	185000	200000	191000	215000	190000	186000	174000
met_10004	15400	13800	23500	14100	19800	20400	28000	19300	40700	16900	599000	938000	878000	1090000	1200000	954000	755000	770000	1150000	1220000	843000	1490000	1770000	812000	1320000	1340000	1440000	1320000	1370000	1790000	8790000	1230000	1040000	807000	1160000	1880000	1380000	880000	1730000	2110000	4130000	2410000	880000	2200000	1620000	1710000	2500000	5060000	3840000	2120000	3320000	2300000	3380000	2590000	1780000	2910000	17900000	1970000	2620000	2080000	189000	1150000	1810000	2140000	1540000	3390000	1470000	2010000	3520000	3260000	2600000	14600000	1410000	1310000	11700000	1560000	3870000	1180000	1740000	3260000	2020000	4450000	3550000	408000	1920000	1500000	4630000	14700000	3330000	3470000	2610000	2660000	4320000	4090000	3690000	3040000	4360000	2650000	1030000	3350000	3190000	1020000	3320000	3650000
met_10010	51900	69900	90300	87300	76900	75000	79700	74200	76100	74000	85900	81700	71900	94400	71200	102000	94500	93800	92900	93200	93100	92800	102000	105000	89100	111000	83200	87600	87000	111000	64200	87700	90700	87200	87900	90800	80900	98800	93700	66900	89200	89700	101000	86200	101000	82800	97100	93700	97000	88100	89300	94400	89900	79900	88000	91000	81900	88200	84700	82300	81500	87700	71600	81100	122000	111000	92600	79400	100000	87100	92000	100000	81200	88500	87400	88800	96100	91800	90100	107000	95600	92800	95200	89700	95500	102000	94900	63800	92400	84400	95000	89900	88200	96900	88900	83500	88100	91600	92600	109000	90200	83500	95400	97500
met_10011	186000	122000	110000	99500	115000	95000	95100	97500	165000	106000	105000	97500	96400	105000	93600	136000	100000	90700	94300	94300	143000	94300	107000	93300	97500	89800	94800	111000	83900	95400	90000	132000	126000	95800	91800	110000	127000	88800	113000	82000	109000	91900	143000	92100	122000	90100	98700	90400	85700	88000	84500	83700	95200	100000	88700	81000	88300	92400	91400	82400	79200	97400	93300	86500	87700	94300	91600	85800	80400	79700	78400	75200	108000	84200	175000	92300	88400	84700	135000	89200	111000	79000	81000	212000	86800	95600	82100	87300	87600	86300	80200	89000	73900	74000	79400	85000	98400	95000	110000	83200	77800	81500	83900	83800
met_10013	24200	34800	37700	35900	40000	43800	39100	38900	49400	40700	53100	64900	56400	82000	68900	65100	66400	72200	76200	74000	68300	96100	82800	51700	64900	72700	88800	84900	72300	83100	54000	67800	100000	79500	69100	105000	87200	83800	85600	52800	71600	107000	69800	91000	81000	86700	77000	90000	82100	85200	83300	85400	92100	121000	73900	96300	108000	88900	98600	86700	68900	84400	84000	96600	59600	71400	72600	88300	64200	76400	101000	74400	103000	95300	61100	63700	74500	90700	80500	97800	74500	77000	72800	43200	95400	81200	70900	63500	70700	78800	82900	65800	80400	87500	90000	89600	66200	67900	77100	121000	82700	71900	64900	97700
