rowID	flag_bff_24C_off	flag_bff_24T_off	flag_bff_8C_off	flag_bff_8T_off	flag_bff_ISTD_off	flag_bff_QC_off	flag_bff_QCD_off	flag_bff_any_off	flag_bff_all_off
met_1	1	1	1	1	1	1	1	1	1
met_100	1	1	1	1	1	1	1	1	1
met_1000	1	1	1	1	1	1	1	1	1
met_10001	1	1	1	1	1	1	1	1	1
met_10002	1	1	1	1	1	1	1	1	1
met_10003	1	1	1	1	1	1	1	1	1
met_10004	1	1	1	1	1	1	1	1	1
met_10010	1	1	1	1	1	1	1	1	1
met_10011	1	1	1	1	1	1	1	1	1
met_10013	1	1	1	1	1	1	1	1	1
met_10014	1	1	1	1	1	1	1	1	1
met_10017	1	1	1	1	1	1	1	1	1
met_10022	1	1	1	1	1	1	1	1	1
met_10023	1	1	1	1	1	1	1	1	1
met_10027	1	1	1	1	1	1	1	1	1
met_1003	1	1	1	1	1	1	1	1	1
met_10030	1	1	1	1	1	1	1	1	1
met_10031	1	1	1	1	1	1	1	1	1
met_10032	1	1	1	1	1	1	1	1	1
met_10033	1	1	1	1	1	1	1	1	1
met_10035	1	1	1	1	1	1	1	1	1
met_10036	1	1	1	1	1	1	1	1	1
met_10037	1	1	1	1	1	1	1	1	1
met_10041	1	1	1	1	1	1	1	1	1
met_10042	1	1	1	1	1	1	1	1	1
met_10043	1	1	1	1	1	1	1	1	1
met_10045	1	1	1	1	1	1	1	1	1
met_10046	1	1	1	1	1	1	1	1	1
met_10047	1	1	1	1	1	1	1	1	1
met_10049	1	1	1	1	1	1	1	1	1
met_1005	1	1	1	1	1	1	1	1	1
met_10050	1	1	1	1	1	1	1	1	1
met_10051	1	1	1	1	1	1	1	1	1
met_10055	1	1	1	1	1	1	1	1	1
met_10056	1	1	1	1	1	1	1	1	1
met_10057	1	1	1	1	1	1	1	1	1
met_10059	1	1	1	1	1	1	1	1	1
met_1006	1	1	1	1	1	1	1	1	1
met_10061	1	1	1	1	1	1	1	1	1
met_10063	1	1	1	1	1	1	1	1	1
met_10064	1	1	1	1	1	1	1	1	1
met_10065	1	1	1	1	1	1	1	1	1
met_10067	1	1	1	1	1	1	1	1	1
met_10070	1	1	1	1	1	1	1	1	1
met_10072	1	1	1	1	1	1	1	1	1
met_10073	1	1	1	1	1	1	1	1	1
met_10075	1	1	1	1	1	1	1	1	1
met_10077	1	1	1	1	1	1	1	1	1
met_10080	1	1	1	1	1	1	1	1	1
met_10081	1	1	1	1	1	1	1	1	1
met_10082	1	1	1	1	1	1	1	1	1
met_10083	1	1	1	1	1	1	1	1	1
met_10084	1	1	1	1	1	1	1	1	1
met_10086	1	1	1	1	1	1	1	1	1
met_10088	1	1	1	1	1	1	1	1	1
met_10089	1	1	1	1	1	1	1	1	1
met_1009	1	1	1	1	1	1	1	1	1
met_10091	1	1	1	1	1	1	1	1	1
met_10096	1	1	1	1	1	1	1	1	1
met_10098	1	1	1	1	1	1	1	1	1
met_101	1	1	1	1	1	1	1	1	1
met_1010	1	1	1	1	1	1	1	1	1
met_10100	1	1	1	1	1	1	1	1	1
met_10104	1	1	1	1	1	1	1	1	1
met_10106	1	1	1	1	1	1	1	1	1
met_10108	1	1	1	1	1	1	1	1	1
met_10109	1	1	1	1	1	1	1	1	1
met_1011	1	1	1	1	1	1	1	1	1
met_10110	1	1	1	1	1	1	1	1	1
met_10111	1	1	1	1	1	1	1	1	1
met_10112	1	1	1	1	1	1	1	1	1
